instrument,expectancy_1d,trades_1d,wins_1d,losses_1d,flats_1d,sum_r_1d,winrate_1d,expectancy_timeframe,trades_timeframe,wins_timeframe,losses_timeframe,flats_timeframe,sum_r_timeframe,winrate_timeframe
PA=F,2315.5932886348087,,,,,,,2315.5932886348087,3731,1167,1414,1150,8639478.559896471,31.278477619941036
PXM.WA,461.64079374561885,,,,,,,461.64079374561885,901,392,465,44,415938.3551648026,43.5072142064373
DOGE-USD,0.2329351842537008,,,,,,,0.2329351842537008,78,38,40,0,18.168944371788662,48.717948717948715
MATIC-USD,0.16937254645529115,,,,,,,0.16937254645529115,141,64,77,0,23.88152905019605,45.39007092198582
BCH-USD,0.1674441819175398,,,,,,,0.1674441819175398,93,43,50,0,15.572308918331201,46.236559139784944
CANE,0.16552757849918748,,,,,,,0.16552757849918748,695,328,367,0,115.0416670569353,47.19424460431655
ADA-USD,0.16199561031498008,,,,,,,0.16199561031498008,234,104,130,0,37.90697281370534,44.44444444444444
AVAX-USD,0.15884762488822726,,,,,,,0.15884762488822726,113,52,61,0,17.94978161236968,46.017699115044245
CPER,0.13495588977149633,,,,,,,0.13495588977149633,1009,466,543,0,136.1704927794398,46.18434093161546
MA,0.10031326568677636,,,,,,,0.10031326568677636,565,250,315,0,56.67699511302864,44.24778761061947
CIG.WA,0.09681639419274712,,,,,,,0.09681639419274712,487,213,274,0,47.14958397186785,43.737166324435314
LTC-USD,0.09582155189158297,,,,,,,0.09582155189158297,303,130,173,0,29.03393022314964,42.9042904290429
KRBN,0.08644612954510889,,,,,,,0.08644612954510889,319,141,178,0,27.576315324889734,44.20062695924764
CT=F,0.086080237178196,,,,,,,0.086080237178196,921,404,517,0,79.27989844111852,43.865363735070574
ETFBW20TR.WA,0.0857704791246286,,,,,,,0.0857704791246286,230,99,131,0,19.727210198664576,43.04347826086957
CCC.WA,0.08040468583599586,,,,,,,0.08040468583599586,626,270,355,1,50.33333333333341,43.13099041533546
DOT-USD,0.07800741104057973,,,,,,,0.07800741104057973,133,56,77,0,10.374985668397104,42.10526315789473
MLP.WA,0.07528049221860388,,,,,,,0.07528049221860388,921,283,330,308,69.33333333333417,30.727470141150924
