instrument,expectancy_1d,trades_1d,wins_1d,losses_1d,flats_1d,sum_r_1d,winrate_1d,expectancy_timeframe,trades_timeframe,wins_timeframe,losses_timeframe,flats_timeframe,sum_r_timeframe,winrate_timeframe
SB=F,-0.07505084483229202,674,251,423,0,-50.58426941696482,37.24035608308605,0.46461341954512814,17,10,7,0,7.8984281322671785,58.82352941176471
^N225,0.01894193927809411,2219,641,907,671,42.03216325809083,28.886885984677786,0.40220385674931103,121,66,54,671,48.666666666666636,54.54545454545454
ZC=F,0.014531330416881824,1072,431,611,30,15.577586206897315,40.20522388059701,0.3263027295285384,26,14,12,30,8.483870967741998,53.84615384615385
PLW.WA,0.07102572744635434,215,92,123,0,15.270531400966183,42.7906976744186,0.28721775736701105,67,34,33,0,19.24358974358974,50.74626865671642
DOT-USD,0.07800741104057973,133,56,77,0,10.374985668397104,42.10526315789473,0.272007711331437,81,41,40,0,22.032624617846395,50.617283950617285
PA=F,2315.5932886348087,3731,1167,1414,1150,8639478.559896471,31.278477619941036,0.2627933354623447,71,36,35,1150,18.658326817826474,50.70422535211267
PKP.WA,-0.022064054030363985,269,105,164,0,-5.935230534167912,39.03345724907063,0.25203494143339333,73,37,36,0,18.398550724637712,50.68493150684932
IWM,0.036281179138322114,735,306,428,1,26.666666666666753,41.63265306122449,0.23964899795686212,103,51,52,1,24.6838467895568,49.51456310679612
GPW.WA,0.04087749765689174,427,180,247,0,17.454691499492775,42.15456674473068,0.23954056167619522,105,54,51,0,25.151758976000497,51.42857142857142
SPL.WA,0.011385431188062727,548,222,326,0,6.239216291058374,40.51094890510949,0.23177909487002696,99,50,49,0,22.94613039213267,50.505050505050505
CORN,0.02762756250033486,476,196,280,0,13.150719750159395,41.17647058823529,0.2060177810416636,147,70,77,0,30.28461381312455,47.61904761904761
AMC.WA,-0.02786294166347685,816,317,499,0,-22.736160397397107,38.84803921568628,0.20127573210308555,100,49,51,0,20.127573210308555,49.0
CC=F,-0.03839068648973966,1108,435,665,8,-42.53688063063154,39.25992779783393,0.19897209985315747,88,42,46,8,17.509544787077857,47.72727272727273
VWO,0.02485774183887372,1113,461,651,1,27.66666666666645,41.41958670260557,0.19480699275905006,134,62,72,1,26.104137029712707,46.26865671641791
WMT,0.06360792492179353,959,411,547,1,60.99999999999999,42.857142857142854,0.19194703313117745,99,47,52,1,19.002756279986567,47.474747474747474
VGK,0.0410807349596359,1011,425,586,0,41.532623044191894,42.0375865479723,0.19092234725613197,136,63,73,0,25.965439226833947,46.32352941176471
NOVN.SW,-0.0105708245243128,946,377,568,1,-9.999999999999908,39.85200845665962,0.1897955750147321,89,41,48,1,16.891806176311157,46.06741573033708
XLF,-0.011968194112814011,767,305,462,0,-9.179604884528347,39.765319426336376,0.18814212194337787,81,37,44,0,15.239511877413609,45.67901234567901
